zipcode,cases,date
56136,<=5,8/6/20
56137,13,8/6/20
56138,<=5,8/6/20
56139,10,8/6/20
56140,0,8/6/20
56141,7,8/6/20
56142,<=5,8/6/20
56143,28,8/6/20
56144,11,8/6/20
56145,<=5,8/6/20
56146,0,8/6/20
56147,<=5,8/6/20
56149,9,8/6/20
56150,15,8/6/20
56151,11,8/6/20
56152,<=5,8/6/20
56153,<=5,8/6/20
56155,15,8/6/20
56156,50,8/6/20
56157,6,8/6/20
56158,6,8/6/20
56159,40,8/6/20
56160,<=5,8/6/20
56161,11,8/6/20
56162,<=5,8/6/20
56164,103,8/6/20
56165,14,8/6/20
56166,0,8/6/20
56167,11,8/6/20
56168,16,8/6/20
56169,7,8/6/20
56170,<=5,8/6/20
56171,10,8/6/20
56172,28,8/6/20
56173,0,8/6/20
56174,<=5,8/6/20
56175,21,8/6/20
56176,7,8/6/20
56177,0,8/6/20
56178,35,8/6/20
56180,<=5,8/6/20
56181,<=5,8/6/20
56183,<=5,8/6/20
56185,8,8/6/20
56186,<=5,8/6/20
56187,1585,8/6/20
56201,591,8/6/20
56207,0,8/6/20
56208,11,8/6/20
56209,10,8/6/20
56210,0,8/6/20
56211,<=5,8/6/20
56212,0,8/6/20
56214,0,8/6/20
56215,29,8/6/20
56216,6,8/6/20
56218,<=5,8/6/20
56219,0,8/6/20
56220,<=5,8/6/20
56221,0,8/6/20
56222,11,8/6/20
56223,17,8/6/20
56224,0,8/6/20
56225,8,8/6/20
56226,0,8/6/20
56227,0,8/6/20
56228,<=5,8/6/20
56229,14,8/6/20
56230,<=5,8/6/20
56231,0,8/6/20
56232,<=5,8/6/20
56235,<=5,8/6/20
56236,<=5,8/6/20
56237,0,8/6/20
56239,8,8/6/20
56240,8,8/6/20
56241,16,8/6/20
56243,7,8/6/20
56244,<=5,8/6/20
56245,6,8/6/20
56248,18,8/6/20
56249,0,8/6/20
56251,12,8/6/20
56252,9,8/6/20
56253,<=5,8/6/20
56255,<=5,8/6/20
56256,<=5,8/6/20
56257,<=5,8/6/20
56258,335,8/6/20
56260,<=5,8/6/20
56262,21,8/6/20
56263,<=5,8/6/20
56264,24,8/6/20
56265,66,8/6/20
56266,<=5,8/6/20
56267,12,8/6/20
56270,<=5,8/6/20
56271,6,8/6/20
